,Language,Dataset,Context,Noisy text,Normalized text,Counts
0,English,Training,: opolo eyes,u,you,1
1,English,Training,,u,you,10
2,English,Training,i miss,u,you,1
3,English,Training,bie ! where,u,you,1
4,English,Training,! where u,wanna,want to,1
5,English,Training,u wanna out,wif,with,1
6,English,Training,@daviddarkshade and you,didnt,didn't,1
7,English,Training,didnt make this,brah,brother,1
8,English,Training,regardless ! !,im,i'm,1
9,English,Training,@khalilbrown_ shit,rockin,rocking,1
10,English,Training,ireland today .,marvellous,marvelous,1
11,English,Training,@kam_maynee lol,cause,because,1
12,English,Training,said & you,woulda,would have,1
13,English,Training,@raqueldiosdado,yea,yeah,1
14,English,Training,yea i was,gonna,going to,1
15,English,Training,was gonna hit,u,you,1
16,English,Training,he,obvi,obviously,1
17,English,Training,he obvi,doesnt,doesn't,1
18,English,Training,@_queencliffordx,im,i'm,1
19,English,Training,love the way,u,you,1
20,English,Training,personality and how,u,you,1
21,English,Training,and how u,arent,aren't,1
22,English,Training,@graemeforsyth haha,im,i'm,1
23,English,Training,@graemeforsyth haha im,ony,only,1
24,English,Training,everyone on my,tl,timeline,1
25,English,Training,@creatiinggfx @scorestreakshq1,ight,alright,1
26,English,Training,10$ of what,nigga,nigger,1
27,English,Training,@jpaulinel heheheh miss,youu,you,1
28,English,Training,u got me,feelin,feeling,1
29,English,Training,rt @dxoxoluhandeer :,im,i'm,1
30,English,Training,galeris,usa,use,1
31,English,Training,usa a tag,n,and,1
32,English,Training,a tag n,custa,custand,1
33,English,Training,has arrived ^^,thanku,thank you,1
34,English,Training,: zoom in,2,to,1
35,English,Training,zoom in 2,c,see,1
36,English,Training,2 c an,sekret,secret,1
37,English,Training,c an sekret,mesage,message,1
38,English,Training,you,kno,know,1
39,English,Training,you kno,dat,that,1
40,English,Training,kno dat that,aint,ain't,1
41,English,Training,"bad bitch ,",dats,that's,1
42,English,Training,salmann khann .,auchhh,ouch,1
43,English,Training,. auchhh !,shoo,so,1
44,English,Training,,im,i'm,18
45,English,Training,right now just,cus,because,1
46,English,Training,".. how ,",infact,in fact,1
47,English,Training,let him play,hes,he's,1
48,English,Training,seatbelt ticket ?,fuhh,fuck,1
49,English,Training,ticket ? fuhh,thattt,that,1
50,English,Training,love you omfg,u,you,1
51,English,Training,g,ill,i'll,1
52,English,Training,ill stay home,b4,before,1
53,English,Training,clues son :,u,you,1
54,English,Training,son : u,gon,gonna,1
55,English,Training,seeing,oll,old,1
56,English,Training,seeing oll,dogg,dog,1
57,English,Training,dogg again was,good'o,good,1
58,English,Training,@lyeolnam : [,pls,please,1
59,English,Training,rt for a,dm,direct message,2
60,English,Training,hemmings ( mbf,bc,because,1
61,English,Training,. calls himself,whiteboy,white boy,1
62,English,Training,@miketokes sorry,bout,about,1
63,English,Training,but check your,dms,direct messages,1
64,English,Training,@tt_shake or,u,you,1
65,English,Training,a condom and,u,you,1
66,English,Training,to worry about,pullin,pulling,1
67,English,Training,@mika90628,woah,wow,1
68,English,Training,one of my,favourite,favorite,1
69,English,Training,@minquannn haha mq,pls,please,1
70,English,Training,rt @thevampsrob :,yall,y'all,1
71,English,Training,smoking weed he,wasnt,wasn't,1
72,English,Training,: eminado means,goodluck,good luck,1
73,English,Training,@worldstarfunny : this,lil,little,1
74,English,Training,: this lil,nigga,nigger,1
75,English,Training,mango is some,fuckn,fucking,1
76,English,Training,""" -me """,u,you,1
77,English,Training,""" u go",gurl,girl,1
78,English,Training,: this graduation,rehersal,rehearsal,1
79,English,Training,graduation rehersal is,takin,taking,1
80,English,Training,! thank goodness,im,i'm,1
81,English,Training,thank goodness im,textin,texting,1
82,English,Training,lol,dafuq,the fuck,1
83,English,Training,@niggeerrich are,u,you,1
84,English,Training,are u home,niggah,nigger,1
85,English,Training,elction with winning,spirite,spirit,1
86,English,Training,spirite not with,spirite,spirit,1
87,English,Training,@voodoochild42 : insecure,bfs,best friends,1
88,English,Training,: insecure bfs,showin,showing,1
89,English,Training,kinds of pda,cuz,because,1
90,English,Training,@kb32904 ha !,labour,labor,1
91,English,Training,(: do you,needto,need to,1
92,English,Training,god saw everything,wat,what,1
93,English,Training,saw everything wat,u,you,1
94,English,Training,jga tu .,wat,what,1
95,English,Training,a teacher who,doesnt,doesn't,1
96,English,Training,thing ever when,u,you,1
97,English,Training,can't have my,niggas,niggers,1
98,English,Training,have my niggas,fallin,falling,1
99,English,Training,to bitches like,dat,that,1
100,English,Training,"like dat ,",nah,no,1
101,English,Training,"dat , nah",neva,never,1
102,English,Training,", nah neva",dat,that,1
103,English,Training,: bro i,dont,don't,1
104,English,Training,even have school,tmrw,tomorrow,1
105,English,Training,my,momma,mama,1
106,English,Training,no second class,nigga,nigger,1
107,English,Training,better a ',lil,little,1
108,English,Training,as much as,posible,possible,1
109,English,Training,", leo bro",n,and,1
110,English,Training,come out .,yall,y'all,1
111,English,Training,out . yall,gonna,going to,1
112,English,Training,pacquiao is real,af,as fuck,1
113,English,Training,money for 2014,pls,please,1
114,English,Training,rt @niallofficial :,dressin,dressing,6
115,English,Training,up your hashtag,cuz,because,1
116,English,Training,your hashtag cuz,im,i'm,1
117,English,Training,@abarba2020,ight,alright,1
118,English,Training,@abarba2020 ight,ima,i'm going to,1
119,English,Training,fam will swoop,youu,you,1
120,English,Training,@femaletexts : when,u,you,1
121,English,Training,with bae &,u,you,1
122,English,Training,jews . always,throwg,throw,1
123,English,Training,holocaust privilg in,ppls,people's,1
124,English,Training,ppls faces .,sum1,someone,1
125,English,Training,faces . sum1,shld,should,1
126,English,Training,them all in,camps,campus,1
127,English,Training,all in camps,n,and,1
128,English,Training,n .. o,w8,wait,1
129,English,Training,rt @wizkhalifa :,u,you,1
130,English,Training,: u better,locc,lock,1
131,English,Training,rt @nbafollowtrain :,rt,retweet,1
132,English,Training,for michael jordan,fav,favorite,1
133,English,Training,@goldenthang : when,u,you're,1
134,English,Training,: when u,tweetin,tweeting,2
135,English,Training,in your class,favs,favorites,1
136,English,Training,your class favs,ur,your,1
137,English,Training,@dixon_shaq,u,you're,1
138,English,Training,", that's what",ima,i'm going to,1
139,English,Training,rt @iymula :,jst,just,1
140,English,Training,"by gwamba ,",shuld,should,1
141,English,Training,", shuld say",its,it's,1
142,English,Training,spot in the,midd,middle,1
143,English,Training,rt @oh_jaaazmin :,ima,i'm going to,1
144,English,Training,will i love,u,you,1
145,English,Training,uma see,wats,what's,1
146,English,Training,be shown sa,primiere,premiere,1
147,English,Training,hoes should be,thankin,thanking,1
148,English,Training,be thankin me,im,i'm,1
149,English,Training,thankin me im,savin,saving,1
150,English,Training,me im savin,yall,y'all,1
151,English,Training,& heart pains,cause,because,1
152,English,Training,who kylan not,leavin,leaving,1
153,English,Training,", it's a",gd,good,1
154,English,Training,a gd thing,u,you,1
155,English,Training,gd thing u,knw,know,1
156,English,Training,as dumb as,fack,fuck,1
157,English,Training,moment when you,wanna,want to,1
158,English,Training,who get to,talkin,talking,1
159,English,Training,savage i could,b,be,1
160,English,Training,rt'ed even tho,im,i'm,1
161,English,Training,just zayn there,warmin,warming,1
162,English,Training,nb ' 11/8,favourite,favorite,1
163,English,Training,grip hu subjects,ppe,people,1
164,English,Training,"studying unpeacekeeping ,",humen,human,1
165,English,Training,,fina,going to,1
166,English,Training,fina try,n,and,1
167,English,Training,try n go,bck,back,1
168,English,Training,omygosh it was,wasnt,wasn't,1
169,English,Training,of the tatts,im,i'm,1
170,English,Training,the tatts im,gettin,getting,1
171,English,Training,a heartattack when,u,you,1
172,English,Training,u said 5,bc,because,1
173,English,Training,5 bc i,havent,haven't,1
174,English,Training,,nigga,nigger,2
175,English,Training,nigga still,anit,ain't,1
176,English,Training,out to dumbass,ppl,people,1
177,English,Training,,evry1s,everyone's,1
178,English,Training,bam r performing,2moz,tomorrow,1
179,English,Training,2moz but they,aint,ain't,1
180,English,Training,to get hot,thats,that's,1
181,English,Training,hot thats happening,im,i'm,1
182,English,Training,matty i love,u,you,1
183,English,Training,@stylez_maestro : lol,im,i'm,1
184,English,Training,coach !!! a,gud,good,1
185,English,Training,to you .,mis,miss,1
186,English,Training,you . mis,u,you,1
187,English,Training,@isy_aqqil pray for,ayu,you,1
188,English,Training,@tbhfuckoffpls : when,u,you,1
189,English,Training,know the details,asap,as soon as possible,1
190,English,Training,details asap !,im,i'm,1
191,English,Training,asap ! im,soo,so,1
192,English,Training,@g_gatman @lalhatedmylast1 i,aint,ain't,1
193,English,Training,@lalhatedmylast1 i aint,messin,messing,1
194,English,Training,aint messin with,no1s,no one's,1
195,English,Training,with no1s wifey,yo,you,1
196,English,Training,rt @geezzzus :,layin,laying,1
197,English,Training,layin up >,goin,going,1
198,English,Training,dugsbaws ' is,gonnae,gonna,1
199,English,Training,,ppl,people,2
200,English,Training,food with me,nd,and,1
201,English,Training,you soon !!!,followback,follow back,1
202,English,Training,vesely i love,u,you,1
203,English,Training,think i need,somtime,sometimes,1
204,English,Training,"cuzz , if",u,you,1
